slc|den|20141212|0910|20141212|1130
slc|den|20141212|1530|20141212|1730
slc|den|20141213|0910|20141213|1130
slc|den|20141213|1530|20141213|1730
slc|den|20141214|0910|20141214|1130
slc|den|20141214|1530|20141214|1730
slc|den|20141215|0910|20141215|1130
slc|den|20141215|1530|20141215|1730
slc|den|20141216|0910|20141216|1130
slc|den|20141216|1530|20141216|1730
slc|den|20141217|0910|20141217|1130
slc|den|20141217|1530|20141217|1730
slc|den|20141218|0910|20141218|1130
slc|den|20141218|1530|20141218|1730
slc|den|20141219|0910|20141219|1130
slc|den|20141219|1530|20141219|1730
slc|den|20141220|0910|20141220|1130
slc|den|20141220|1530|20141220|1730
slc|den|20141221|0910|20141221|1130
slc|den|20141221|1530|20141221|1730
slc|den|20141222|0910|20141222|1130
slc|den|20141222|1530|20141222|1730
slc|den|20141223|0910|20141223|1130
slc|den|20141223|1530|20141223|1730
slc|den|20141224|0910|20141224|1130
slc|den|20141224|1530|20141224|1730
slc|den|20141225|0910|20141225|1130
slc|den|20141225|1530|20141225|1730
slc|den|20141226|0910|20141226|1130
slc|den|20141226|1530|20141226|1730
slc|den|20141227|0910|20141227|1130
slc|den|20141227|1530|20141227|1730
slc|den|20141228|0910|20141228|1130
slc|den|20141228|1530|20141228|1730
slc|den|20141229|0910|20141229|1130
slc|den|20141229|1530|20141229|1730
slc|den|20141230|0910|20141230|1130
slc|den|20141230|1530|20141230|1730
slc|den|20141231|0910|20141231|1130
slc|den|20141231|1530|20141231|1730
